City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
London,51.5085,-0.1257,54.7,81,100,3.0,GB,1624344453
Paris,48.8534,2.3488,64.26,91,90,3.44,FR,1624344624
Chicago,41.85,-87.65,58.03,74,90,3.4,US,1624344307
Boston,42.3584,-71.0598,74.61,89,40,1.01,US,1624344363
Buenos Aires,-34.6132,-58.3772,53.96,91,90,4.61,AR,1624344633
Cairo,30.0626,31.2497,84.96,30,0,5.75,EG,1624344645
Algiers,36.7525,3.042,69.62,60,0,3.44,DZ,1624344846
Sydney,-33.8679,151.2073,60.64,85,20,1.01,AU,1624344798
Melbourne,28.0836,-80.6081,75.96,91,1,4.61,US,1624344826
Queenstown,-31.8976,26.8753,56.08,43,5,9.62,ZA,1624344870
broome,42.2506,-75.833,67.17,87,100,3.0,US,1624344870
