City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
London,51.5085,-0.1257,54.27,82,20,3.0,GB,1624340918
Paris,48.8534,2.3488,63.77,92,75,2.3,FR,1624340712
Chicago,41.85,-87.65,59.02,73,52,1.01,US,1624340498
Boston,42.3584,-71.0598,76.37,86,40,3.0,US,1624340418
Buenos Aires,-34.6132,-58.3772,53.96,91,90,4.61,AR,1624341004
Cairo,30.0626,31.2497,83.16,30,0,3.44,EG,1624340819
Algiers,36.7525,3.042,60.62,77,0,2.3,DZ,1624341004
Sydney,-33.8679,151.2073,62.31,81,40,1.01,AU,1624340988
Melbourne,28.0836,-80.6081,76.01,93,1,0.0,US,1624340550
Queenstown,-31.8976,26.8753,48.16,53,6,5.75,ZA,1624341005
broome,42.2506,-75.833,69.01,92,90,14.97,US,1624341005
